gid,District Name,Facility Name,TotalTest,Manual Test,Automated Test,Total Asset,FAA,CC,SAA,Interface FAA,Interface CC,Interface SAA
17,Thoothukudi,Kovilpatti-DHQ,487,487,0,3,1,1,1,1,1,1
17,Thoothukudi,Megnanapuram,597,597,0,2,0,1,1,0,1,1
17,Thoothukudi,Mudalur,441,441,0,2,0,1,1,0,1,1
17,Thoothukudi,Nagalapuram,654,654,0,2,0,1,1,0,1,1
17,Thoothukudi,Ottanathami,35,35,0,2,0,1,1,0,1,1
17,Thoothukudi,Pasuvanthanai,488,488,0,1,0,0,1,0,0,1
17,Thoothukudi,Perilovanpatti,362,359,3,2,0,1,1,0,1,1
17,Thoothukudi,Pudukottai,7,6,1,2,0,1,1,0,1,1
17,Thoothukudi,S.Kailasapuram,160,160,0,1,0,0,1,0,0,1
17,Thoothukudi,Salaipudur,31,31,0,0,0,0,0,0,0,0
17,Thoothukudi,Singathakurichi,517,517,0,1,0,0,1,0,0,1
17,Thoothukudi,Thenthiruperai,5,5,0,2,0,1,1,0,1,1
17,Thoothukudi,Vallanad,890,890,0,2,0,1,1,0,1,1
17,Thoothukudi,Veppalodai,26,26,0,1,0,0,1,0,0,1
36,Tenkasi,Chokkampatti,361,361,0,2,0,1,1,0,1,1
36,Tenkasi,Elathur,410,410,0,2,0,1,1,0,1,1
36,Tenkasi,Kadayam,2,2,0,2,0,1,1,0,1,1
36,Tenkasi,Karivalm Vandanallur,306,306,0,2,0,1,1,0,0,1
36,Tenkasi,Kurukkalpatti,7,7,0,1,0,0,1,0,0,0
36,Tenkasi,Kuruvikulam,65,65,0,2,0,1,1,0,1,1
21,Tirunelveli,Mukkudal,353,353,0,2,0,1,1,0,1,1
21,Tirunelveli,Munainjipatti,322,322,0,2,0,1,1,0,1,1
21,Tirunelveli,Navalady,79,79,0,1,0,0,1,0,0,1
36,Tenkasi,Nettur,44,44,0,2,0,1,1,0,0,1
21,Tirunelveli,Pattamadai,953,953,0,2,0,1,1,0,1,1
36,Tenkasi,Pavoorchtram,83,56,27,2,0,1,1,0,1,0
21,Tirunelveli,Reddiarpatty,91,74,17,2,0,1,1,0,1,1
